TIME STAMP,PROCESS,GRAPHICS API,FPS,AVG FRAME TIME,99th% FPS,MICRO STUTTER,HEAVY STUTTER RATE,FRAME GEN LAG
2025-08-08 11:18:31.980,MafiaTheOldCountry.exe,DX12,43.189,23.154,21.519,3.846,N/A,N/A
2025-08-08 11:18:32.117,MafiaTheOldCountry.exe,DX12,43.189,23.154,21.519,3.846,N/A,N/A
2025-08-08 11:18:32.399,MafiaTheOldCountry.exe,DX12,43.189,23.154,21.519,3.846,N/A,N/A
2025-08-08 11:18:32.631,MafiaTheOldCountry.exe,DX12,43.189,23.154,21.519,3.846,N/A,N/A
2025-08-08 11:18:32.980,MafiaTheOldCountry.exe,DX12,51.825,19.296,37.155,1.887,N/A,N/A
2025-08-08 11:18:33.137,MafiaTheOldCountry.exe,DX12,51.825,19.296,37.155,1.887,6.306,N/A
2025-08-08 11:18:33.383,MafiaTheOldCountry.exe,DX12,51.825,19.296,37.155,1.887,6.306,N/A
2025-08-08 11:18:33.632,MafiaTheOldCountry.exe,DX12,51.825,19.296,37.155,1.887,6.306,N/A
2025-08-08 11:18:33.984,MafiaTheOldCountry.exe,DX12,53.048,18.851,38.963,7.407,5.856,N/A
2025-08-08 11:18:34.127,MafiaTheOldCountry.exe,DX12,53.048,18.851,38.963,7.407,5.856,N/A
2025-08-08 11:18:34.383,MafiaTheOldCountry.exe,DX12,53.048,18.851,38.963,7.407,5.856,N/A
2025-08-08 11:18:34.647,MafiaTheOldCountry.exe,DX12,53.048,18.851,38.963,7.407,5.856,N/A
2025-08-08 11:18:34.958,MafiaTheOldCountry.exe,DX12,53.299,18.762,36.164,7.407,6.677,N/A
2025-08-08 11:18:35.158,MafiaTheOldCountry.exe,DX12,53.299,18.762,36.164,7.407,6.677,N/A
2025-08-08 11:18:35.415,MafiaTheOldCountry.exe,DX12,53.299,18.762,36.164,7.407,6.677,N/A
2025-08-08 11:18:35.676,MafiaTheOldCountry.exe,DX12,53.353,18.743,36.164,7.407,6.677,N/A
2025-08-08 11:18:35.983,MafiaTheOldCountry.exe,DX12,49.611,20.157,36.164,20.455,6.494,N/A
2025-08-08 11:18:36.179,MafiaTheOldCountry.exe,DX12,49.611,20.157,36.164,20.455,6.494,N/A
2025-08-08 11:18:36.429,MafiaTheOldCountry.exe,DX12,49.611,20.157,36.164,20.455,6.494,N/A
2025-08-08 11:18:36.691,MafiaTheOldCountry.exe,DX12,49.611,20.157,36.164,20.455,6.494,N/A
2025-08-08 11:18:36.975,MafiaTheOldCountry.exe,DX12,47.704,20.963,35.668,7.843,6.099,N/A
2025-08-08 11:18:37.202,MafiaTheOldCountry.exe,DX12,47.704,20.963,35.668,7.843,6.099,N/A
2025-08-08 11:18:37.450,MafiaTheOldCountry.exe,DX12,47.704,20.963,35.668,7.843,6.099,N/A
2025-08-08 11:18:37.713,MafiaTheOldCountry.exe,DX12,47.704,20.963,35.668,7.843,6.099,N/A
2025-08-08 11:18:37.975,MafiaTheOldCountry.exe,DX12,51.718,19.335,37.054,9.259,5.915,N/A
2025-08-08 11:18:38.211,MafiaTheOldCountry.exe,DX12,51.718,19.335,37.054,9.259,5.915,N/A
2025-08-08 11:18:38.472,MafiaTheOldCountry.exe,DX12,51.718,19.335,37.054,9.259,5.915,N/A
2025-08-08 11:18:38.721,MafiaTheOldCountry.exe,DX12,51.718,19.335,37.054,9.259,5.915,N/A
2025-08-08 11:18:38.979,MafiaTheOldCountry.exe,DX12,53.354,18.743,37.854,5.556,5.263,N/A
2025-08-08 11:18:39.226,MafiaTheOldCountry.exe,DX12,53.354,18.743,37.854,5.556,5.263,N/A
2025-08-08 11:18:39.480,MafiaTheOldCountry.exe,DX12,53.354,18.743,37.854,5.556,5.263,N/A
2025-08-08 11:18:39.745,MafiaTheOldCountry.exe,DX12,53.354,18.743,37.854,5.556,5.263,N/A
2025-08-08 11:18:40.009,MafiaTheOldCountry.exe,DX12,54.036,18.506,37.854,1.818,5.263,N/A
2025-08-08 11:18:40.273,MafiaTheOldCountry.exe,DX12,54.036,18.506,37.854,1.818,5.263,N/A
2025-08-08 11:18:40.536,MafiaTheOldCountry.exe,DX12,54.036,18.506,37.854,1.818,5.263,N/A
2025-08-08 11:18:40.786,MafiaTheOldCountry.exe,DX12,54.635,18.303,40.657,3.571,5.638,N/A
2025-08-08 11:18:41.049,MafiaTheOldCountry.exe,DX12,54.635,18.303,40.657,3.571,5.638,N/A
2025-08-08 11:18:41.311,MafiaTheOldCountry.exe,DX12,54.635,18.303,40.657,3.571,5.638,N/A
2025-08-08 11:18:41.574,MafiaTheOldCountry.exe,DX12,54.635,18.303,40.657,3.571,5.638,N/A
2025-08-08 11:18:41.838,MafiaTheOldCountry.exe,DX12,56.321,17.755,36.783,10.345,5.673,N/A
2025-08-08 11:18:42.088,MafiaTheOldCountry.exe,DX12,56.321,17.755,36.783,10.345,5.673,N/A
2025-08-08 11:18:42.335,MafiaTheOldCountry.exe,DX12,56.321,17.755,36.783,10.345,5.673,N/A
2025-08-08 11:18:42.583,MafiaTheOldCountry.exe,DX12,56.321,17.755,36.783,10.345,5.673,N/A
2025-08-08 11:18:42.957,MafiaTheOldCountry.exe,DX12,58.837,16.996,36.783,4.918,6.780,N/A
2025-08-08 11:18:43.125,MafiaTheOldCountry.exe,DX12,58.837,16.996,36.783,4.918,6.780,N/A
2025-08-08 11:18:43.376,MafiaTheOldCountry.exe,DX12,58.837,16.996,36.783,4.918,6.780,N/A
2025-08-08 11:18:43.628,MafiaTheOldCountry.exe,DX12,58.837,16.996,36.783,4.918,6.780,N/A
2025-08-08 11:18:43.988,MafiaTheOldCountry.exe,DX12,59.942,16.683,42.708,5.000,6.435,N/A
2025-08-08 11:18:44.124,MafiaTheOldCountry.exe,DX12,59.942,16.683,42.708,5.000,6.435,N/A
2025-08-08 11:18:44.372,MafiaTheOldCountry.exe,DX12,59.942,16.683,42.708,5.000,6.435,N/A
2025-08-08 11:18:44.617,MafiaTheOldCountry.exe,DX12,59.942,16.683,42.708,5.000,6.435,N/A
2025-08-08 11:18:44.944,MafiaTheOldCountry.exe,DX12,58.735,17.026,40.274,6.780,6.110,N/A
2025-08-08 11:18:45.095,MafiaTheOldCountry.exe,DX12,58.735,17.026,40.274,6.780,6.110,N/A
2025-08-08 11:18:45.364,MafiaTheOldCountry.exe,DX12,58.735,17.026,40.274,6.780,6.110,N/A
2025-08-08 11:18:45.630,MafiaTheOldCountry.exe,DX12,58.735,17.026,40.274,6.780,6.110,N/A
2025-08-08 11:18:46.002,MafiaTheOldCountry.exe,DX12,52.823,18.931,31.073,19.565,5.237,N/A
